Job Title,Count
Data Engineer,1202
Data Scientist,994
Data Analyst,711
Machine Learning Engineer,363
Analytics Engineer,126
Data Architect,113
Research Scientist,105
Applied Scientist,97
Data Science Manager,66
Research Engineer,51
ML Engineer,46
Machine Learning Scientist,34
Data Manager,33
Data Science Consultant,26
Data Specialist,24
Data Analytics Manager,24
Computer Vision Engineer,22
Director of Data Science,19
BI Data Analyst,18
AI Scientist,17
Business Data Analyst,17
BI Developer,16
Head of Data,16
NLP Engineer,14
Business Intelligence Engineer,14
ETL Developer,14
Machine Learning Infrastructure Engineer,13
Applied Machine Learning Scientist,13
Data Operations Engineer,12
Machine Learning Software Engineer,11
Big Data Engineer,11
Applied Data Scientist,10
AI Developer,10
Data Science Lead,10
Lead Data Scientist,9
BI Analyst,9
Head of Data Science,9
Decision Scientist,8
Machine Learning Developer,8
Principal Data Scientist,8
Product Data Analyst,7
Data Modeler,6
Deep Learning Engineer,6
Data Infrastructure Engineer,6
Data Analytics Engineer,6
Data Operations Analyst,6
Machine Learning Researcher,6
Data Quality Analyst,6
Lead Data Engineer,6
Computer Vision Software Engineer,5
Cloud Database Engineer,5
Lead Data Analyst,5
Data Science Engineer,5
Insight Analyst,4
Applied Machine Learning Engineer,4
Cloud Data Engineer,4
MLOps Engineer,4
Machine Learning Research Engineer,4
Lead Machine Learning Engineer,3
Machine Learning Manager,3
Financial Data Analyst,3
Autonomous Vehicle Technician,3
Principal Data Analyst,2
Data Analytics Lead,2
Data Lead,2
Principal Data Engineer,2
Marketing Data Analyst,2
Big Data Architect,2
Data Analytics Consultant,2
Data Scientist Lead,2
Data Strategist,2
Data Analytics Specialist,2
Business Intelligence Developer,2
Data Visualization Analyst,2
Finance Data Analyst,2
Staff Data Analyst,2
ETL Engineer,2
Data Operations Specialist,2
Sales Data Analyst,2
Software Data Engineer,2
AI Programmer,2
Data Integration Specialist,2
Head of Machine Learning,1
Business Intelligence Data Analyst,1
Power BI Developer,1
Cloud Data Architect,1
Principal Data Architect,1
Product Data Scientist,1
Data Management Specialist,1
AWS Data Architect,1
Data Science Tech Lead,1
Deep Learning Researcher,1
Principal Machine Learning Engineer,1
Manager Data Management,1
Compliance Data Analyst,1
Data DevOps Engineer,1
BI Data Engineer,1
Marketing Data Engineer,1
Azure Data Engineer,1
Staff Data Scientist,1
